genus_species,dispersal_mode,fruit_color,fruit_length_width,seed_size,average_height,leaf_area,wood_density,spinescence,growth_rate,longevity
rhodocolea_racemosa,local knowledge,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
nuxia_capitata,Razafindratsima and Dunham 2016b,,,,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
nuxia_coricea,Razafindratsima and Dunham 2016a,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
nuxia_pachyphylla,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Hemingway 1996,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
noronhia_grandifolia,local knowledge,MBG voucher,MBG voucher,MBG voucher,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
noronhia_incurvifolius,"Overdorff 1993, Dew and Wright 1998, Razafindratsima et al. 2014",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
noronhia_introversa,Razafindratsima et al. 2014 ,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
petchia_cryptophlebia,Overdorff 1993,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
carissa_edulis,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
craspidospermum_verticillatum,Razafindratsima and Dunham 2016b,MBG voucher,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
mascarenhasia_arborescens,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Hemingway 1996,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
tabernaemontana_retusa,Razafindratsima and Dunham 2016b,MBG voucher,MBG voucher,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
anthocleista_amplexicaulis,Razafindratsima et al. 2014 ,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
anthocleista_madagascariensis,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
antirhea_borbonica,"White et al. 1995, Dew and Wright 1998, Razafindratsima et al. 2014",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
bremeria_erectiloba,"White et al. 1995, Dew and Wright 1998, Razafindratsima et al. 2014",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
